Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D4,ESD9X3.3ST5G,SOD-923_L0.8-W0.6-LS1.0-RD,51.216209,-115.751467,-90.0,top
D5,PMEG6010AESBYL,X1SON-2_L1.0-W0.6-P0.65-RD,49.525165,-164.365867,0.0,top
D6,PMEG6010AESBYL,X1SON-2_L1.0-W0.6-P0.65-RD,49.525165,-165.180867,0.0,top
D7,Green,D_0603,61.0,-124.2,180.0,top
D9,White,D_0603,61.0,-122.0,180.0,top
H1,ZX-PM1.0-2-20PU-W,HDR-SMD_40P-P1.00-V-F-R2-C20-LS3.8,49.645165,-171.8,0.0,top
L1,BLM15EX331SN1D,L0402,45.405165,-163.200867,-90.0,top
L2,LQM21PN2R2NGCD,L0805,62.393625,-143.173665,270.0,bottom
L3,LQM21PN2R2NGCD,L0805,62.045165,-145.682976,90.0,top
Q1,2N7002,Q_SOT-23,64.12774,-127.36263,90.0,top
Q2,2N7002,Q_SOT-23,62.6,-115.4,180.0,top
R1,200kΩ,R_0402,51.200765,-124.539867,0.0,bottom
R10,10kΩ,R_0402,64.422279,-148.087563,0.0,bottom
R11,4.7kΩ,R_0402,54.445165,-158.365867,-135.0,top
R12,CR2512J1R220G,R2512,69.045165,-168.565867,0.0,top
R13,4.7kΩ,R_0402,56.045165,-145.165867,0.0,bottom
R14,1kΩ,R_0402,55.663393,-135.685168,0.0,bottom
R15,4.7kΩ,R_0402,56.045164,-144.340837,0.0,bottom
R16,4.7kΩ,R_0402,54.790479,-134.636263,0.0,bottom
R17,4.7kΩ,R_0402,55.645165,-142.565867,180.0,top
R18,120kΩ,R_0402,65.115561,-148.427747,0.0,top
R19,360kΩ,R_0603,63.231458,-138.246951,180.0,bottom
R2,4.7kΩ,R_0402,43.707765,-121.822067,-90.0,top
R20,10kΩ,R_0402,62.947869,-140.637522,180.0,top
R21,100kΩ,R_0402,63.245165,-149.285867,0.0,top
R22,82kΩ,R_0603,64.993626,-140.173664,270.0,bottom
R23,0Ω,R_0402,43.445165,-159.265868,-90.0,top
R24,0Ω,R_0402,44.245165,-159.265868,-90.0,top
R25,0Ω,R_0402,43.852226,-157.945785,180.0,top
R26,100Ω,R_0402,43.845165,-147.565867,-135.0,top
R27,RC0402FR-071K8L,R0402,49.846427,-160.346027,0.0,top
R28,1kΩ,R_0402,47.108684,-158.750867,0.0,top
R29,51Ω,R_0402,48.905165,-158.750867,0.0,top
R3,4.7kΩ,R_0402,43.707765,-123.676267,90.0,top
R30,51Ω,R_0402,48.114462,-159.550866,0.0,top
R31,1Ω,R_0805,44.218758,-164.784273,90.0,bottom
R32,1Ω,R_0805,42.310321,-164.778587,90.0,bottom
R33,1Ω,R_0805,42.323619,-161.389694,270.0,bottom
R34,1Ω,R_0805,44.218758,-161.384273,270.0,bottom
R35,10kΩ,R_0402,49.556325,-163.484707,180.0,top
R36,2kΩ,R_0402,63.706958,-122.00896,0.0,top
R37,2kΩ,R_0402,63.650905,-124.167397,0.0,top
R38,0Ω,R_0603,51.445165,-164.965867,0.0,bottom
R39,0Ω,R_0603,51.445165,-166.165867,0.0,bottom
R4,4.7kΩ,R_0402,44.545965,-121.822067,90.0,top
R40,4.7kΩ,R_0402,46.0,-130.6,180.0,bottom
R41,10kΩ,R_0402,58.2,-119.0,-90.0,top
R42,10kΩ,R_0402,56.661072,-117.724328,-90.0,top
R43,10kΩ,R_0402,59.699999,-116.6,0.0,top
R44,33Ω,R_0402,55.127791,-137.082358,135.0,top
R45,33Ω,R_0402,41.645165,-149.165867,0.0,top
R46,33Ω,R_0402,50.43489,-141.836508,270.0,bottom
R5,150kΩ,R_0402,44.901565,-126.571867,180.0,top
R6,750kΩ,R_0603,47.111365,-126.571867,180.0,top
R7,4.7kΩ,R_0402,44.545965,-123.701667,-90.0,top
R8,4.7kΩ,R_0402,55.6,-121.011966,180.0,bottom
R9,4.7kΩ,R_0402,56.077472,-146.683909,90.0,top
S1,DIP Switch x 2,SW-SMD_218-2LPSTRF,38.6,-132.8,180.0,top
S2,"Tactile Button, 160gf",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,69.0,-124.2,90.0,top
U1,CH569W,QFN-68_L8.0-W8.0-P0.40-BL-EP5.5,49.778365,-134.883034,180.0,top
U10,TLV62569DRLR,SOT-563_L1.6-W1.2-P0.50-LS1.6-BL,63.218626,-140.643665,270.0,bottom
U11,TLV62569DRLR,SOT-563_L1.6-W1.2-P0.50-LS1.6-BL,63.045165,-148.085867,90.0,top
U12,EPC21603,BGA-6_L1.5-W1.0-P0.50-TL,48.805165,-162.150867,0.0,top
U13,LM3880MF-1AA/NOPB,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,60.8,-118.8,180.0,top
U2,HD3SS3220IRNHT,WQFN-30_L4.5-W2.5-P0.4-BL-EP,49.473565,-123.742767,0.0,top
U3,TPD1S414YZR,DSBGA-12_L1.9-W1.4-R3-C4-P0.40-TL,57.6,-121.0,180.0,bottom
U4,LFE5U-25F-8MG285C,csBGA285,50.045165,-148.565867,90.0,top
U5,MAX40025CAWT+T,WLP-6_L1.2-W0.8-R2-C3-P0.40-TL_MAX40111ANT,43.832411,-156.861547,90.0,top
U6,MAX1304ECM+T,TQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,33.845165,-152.565867,45.0,bottom
U7,LMK3H0102A014RERT,TQFN16_RER_TEX,38.11864,-142.518317,-45.0,top
U8,TPIC2010RDFDRG4,HTSSOP-56_L14.0-W6.0-P0.50-LS8.1-BL-EP,63.395165,-160.765867,180.0,top
U9,NCP115CMX250TCG,XDFN-4_L1.0-W1.0-P0.65-BL-EP,40.650165,-138.165867,0.0,bottom
USB1,GT-USB-7018,TYPE-C-SMD_GT-USB-7018,50.819765,-110.933067,180.0,top
X1,X1E0000210295,CRYSTAL-SMD_4P-L3.2-W2.5-BL,58.020877,-128.296938,0.0,top
